name,class,family,filepath
Rajasaurus,Reptile,Abelisauridae,assets/sprites/Rajasaurus.png
Saichania,Reptile,Ankylosauridae,assets/sprites/Saichania.png
Styracosaurus,Reptile,Ceratopsidae,assets/sprites/Styracosaurus.png
Utahraptor,Reptile,Dromaeosauridae,assets/sprites/Utahraptor.png
Brontotherium,Mammal,Brontotheriidae,assets/sprites/Brontotherium.png
Metriacanthosaurus,Reptile,Metriacanthosauridae,assets/sprites/Metriacanthosaurus.png
Siamotyrannus,Reptile,Metriacanthosauridae,assets/sprites/Siamotyrannus.png
Yangchuanosaurus,Reptile,Metriacanthosauridae,assets/sprites/Yangchuanosaurus.png
Agustinia,Reptile,Titanosauridae,assets/sprites/Agustinia.png
Cetiosaurus,Reptile,Cetiosauridae,assets/sprites/Cetiosaurus.png
Futabasaurus,Reptile,Elasmosauridae,assets/sprites/Futabasaurus.png
Altirhinus,Reptile,Iguanodontidae,assets/sprites/Altirhinus.png
Bushpig,Mammal,Suidae,assets/sprites/Bushpig.png
Blesbok,Mammal,Bovidae,assets/sprites/Blesbok.png
Uriel,Mammal,Bovidae,assets/sprites/Uriel.png
Poodle,Mammal,Canidae,assets/sprites/Poodle.png
Rottweiler,Mammal,Canidae,assets/sprites/Rottweiler.png
Pug,Mammal,Canidae,assets/sprites/Pug.png
Pomeranian,Mammal,Canidae,assets/sprites/Pomeranian.png
Mandarinfish,Fish,Callionymidae,assets/sprites/Mandarinfish.png
Hamerkop,Bird,Scopidae,assets/sprites/Hamerkop.png
Antarctopelta,Reptile,Ankylosauridae,assets/sprites/Antarctopelta.png
Imperobator,Reptile,Unenlagiidae,assets/sprites/Imperobator.png
Beelzebufo,Amphibian,Ceratophryidae,assets/sprites/Beelzebufo.png
Microraptor,Reptile,Dromaeosauridae,assets/sprites/Microraptor.png
Onychonycteris,Mammal,Onychonycteridae,assets/sprites/Onychonycteris.png
Pelagornis,Bird,Pelagornithidae,assets/sprites/Pelagornis.png
Rhyniognatha,Insect,Rhyniognathidae,assets/sprites/Rhyniognatha.png
Tapejara,Reptile,Tapejaridae,assets/sprites/Tapejara.png
Tropeognathus,Reptile,Anhangueridae,assets/sprites/Tropeognathus.png
Carbonemys,Reptile,Podocnemididae,assets/sprites/Carbonemys.png
Compsognathus,Reptile,Compsognathidae,assets/sprites/Compsognathus.png
Dinopithecus,Mammal,Cercopithecidae,assets/sprites/Dinopithecus.png
Dodo,Bird,Columbidae,assets/sprites/Dodo.png
Hesperornis,Bird,Hesperornithidae,assets/sprites/Hesperornis.png
Leopleurodon,Reptile,Pliosauridae,assets/sprites/Leopleurodon.png
Trilobite,Other Invertebrate,Redlichiidae,assets/sprites/Trilobite.png
Gallimimus,Reptile,Ornithomimidae,assets/sprites/Gallimimus.png
Gigantopithecus,Mammal,Hominidae,assets/sprites/Gigantopithecus.png
Iguanodon,Reptile,Iguanodontidae,assets/sprites/Iguanodon.png
Kairuku,Bird,Spheniscidae,assets/sprites/Kairuku.png
Mesopithecus,Mammal,Cercopithecidae,assets/sprites/Mesopithecus.png
Phiomia,Mammal,Phiomiidae,assets/sprites/Phiomia.png
Pegomastax,Reptile,Heterodontosauridae,assets/sprites/Pegomastax.png
Procoptodon,Mammal,Macropodidae,assets/sprites/Procoptodon.png
Pulmonoscorpius,Arachnid,Pulmonoscorpiidae,assets/sprites/Pulmonoscorpius.png
Titanomyrma,Insect,Formicidae,assets/sprites/Titanomyrma.png
Troodon,Reptile,Troodontidae,assets/sprites/Troodon.png
Ichthyovenator,Reptile,Spinosauridae,assets/sprites/Ichthyovenator.png
Oxalaia,Reptile,Spinosauridae,assets/sprites/Oxalaia.png
Pachyrhinosaurus,Reptile,Ceratopsidae,assets/sprites/Pachyrhinosaurus.png
Barsboldia,Reptile,Hadrosauridae,assets/sprites/Barsboldia.png
Edestus,Fish,Edestidae,assets/sprites/Edestus.png
